"No.","Time","Source","Destination","Protocol","Length","Info"
"114","39.000255","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TLSv1.2","149","Application Data"
"115","39.000891","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TCP","74","443  >  48820 [ACK] Seq=2709 Ack=3329 Win=65535 Len=0"
"116","39.000962","10.0.2.15","10.95.98.128","DNS","76","Standard query 0x41d9 HTTPS web.whatsapp.com"
"117","39.115086","10.0.2.15","10.95.98.128","DNS","76","Standard query 0x4a73 A web.whatsapp.com"
"118","39.341219","10.0.2.15","10.95.98.128","DNS","76","Standard query 0xab19 A web.whatsapp.com"
"119","41.782466","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TLSv1.2","272","Application Data, Application Data, Application Data"
"120","41.782958","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TCP","74","48820  >  443 [ACK] Seq=3329 Ack=2907 Win=65535 Len=0"
"121","44.006146","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","fd17:625c:f037:2::3","DNS","96","Standard query 0x41d9 HTTPS web.whatsapp.com"
"122","44.123162","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","fd17:625c:f037:2::3","DNS","96","Standard query 0x4a73 A web.whatsapp.com"
"123","44.344524","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","fd17:625c:f037:2::3","DNS","96","Standard query 0xab19 A web.whatsapp.com"
"124","44.351869","fd17:625c:f037:2::3","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","DNS","149","Standard query response 0xab19 A web.whatsapp.com CNAME mmx-ds.cdn.whatsapp.net A 163.70.146.60"
"125","44.353786","10.0.2.15","163.70.146.60","TCP","74","52472  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=58327233 TSecr=0 WS=512"
"126","44.354207","10.0.2.15","163.70.146.60","TCP","74","52478  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=58327233 TSecr=0 WS=512"
"127","44.413898","fd17:625c:f037:2::3","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","DNS","178","Standard query response 0x41d9 HTTPS web.whatsapp.com CNAME mmx-ds.cdn.whatsapp.net SOA a.ns.whatsapp.net"
"128","44.493815","fd17:625c:f037:2::3","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","DNS","149","Standard query response 0x4a73 A web.whatsapp.com CNAME mmx-ds.cdn.whatsapp.net A 163.70.146.60"
"129","44.494657","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","fd17:625c:f037:2::3","DNS","96","Standard query 0x6f7d AAAA web.whatsapp.com"
"130","44.501004","fd17:625c:f037:2::3","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","DNS","161","Standard query response 0x6f7d AAAA web.whatsapp.com CNAME mmx-ds.cdn.whatsapp.net AAAA 2a03:2880:f28a:ce:face:b00c:0:167"
"131","44.555794","163.70.146.60","10.0.2.15","TCP","60","443  >  52472 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"132","44.555796","163.70.146.60","10.0.2.15","TCP","60","443  >  52478 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"133","44.555850","10.0.2.15","163.70.146.60","TCP","54","52472  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"134","44.556045","10.0.2.15","163.70.146.60","TCP","54","52478  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"135","44.559265","10.0.2.15","163.70.146.60","TLSv1.3","1952","Client Hello (SNI=web.whatsapp.com)"
"136","44.560421","163.70.146.60","10.0.2.15","TCP","60","443  >  52478 [ACK] Seq=1 Ack=1461 Win=65535 Len=0"
"137","44.560422","163.70.146.60","10.0.2.15","TCP","60","443  >  52478 [ACK] Seq=1 Ack=1899 Win=65535 Len=0"
"138","44.563311","10.0.2.15","163.70.146.60","TLSv1.3","2329","Client Hello (SNI=web.whatsapp.com)"
"139","44.564577","163.70.146.60","10.0.2.15","TCP","60","443  >  52472 [ACK] Seq=1 Ack=1461 Win=65535 Len=0"
"140","44.564578","163.70.146.60","10.0.2.15","TCP","60","443  >  52472 [ACK] Seq=1 Ack=2276 Win=65535 Len=0"
"141","44.566041","10.0.2.15","163.70.146.60","TLSv1.3","60","Change Cipher Spec"
"142","44.566772","163.70.146.60","10.0.2.15","TCP","60","443  >  52472 [ACK] Seq=1 Ack=2282 Win=65535 Len=0"
"143","46.080487","10.0.2.15","23.11.38.161","TCP","54","[TCP Dup ACK 15#4] 57446  >  80 [ACK] Seq=1 Ack=1 Win=61672 Len=0"
"144","46.081281","23.11.38.161","10.0.2.15","TCP","60","[TCP Dup ACK 16#4] 80  >  57446 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"145","49.152804","fe80::a00:27ff:fee3:7c93","fd17:625c:f037:2::3","ICMPv6","86","Neighbor Solicitation for fd17:625c:f037:2::3 from 08:00:27:e3:7c:93"
"146","49.153459","fd17:625c:f037:2::3","fe80::a00:27ff:fee3:7c93","ICMPv6","86","Neighbor Advertisement fd17:625c:f037:2::3 (rtr, sol, ovr) is at 52:54:00:12:35:00"
"147","50.775981","fe80::2","ff02::1","ICMPv6","134","Router Advertisement from 52:54:00:12:35:00"
"148","50.792990","fe80::a00:27ff:fee3:7c93","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"149","51.816982","fe80::a00:27ff:fee3:7c93","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"150","54.784430","10.0.2.15","163.70.146.60","TCP","54","[TCP Keep-Alive] 52472  >  443 [ACK] Seq=2281 Ack=1 Win=64240 Len=0"
"151","54.784969","10.0.2.15","163.70.146.60","TCP","54","[TCP Keep-Alive] 52478  >  443 [ACK] Seq=1898 Ack=1 Win=64240 Len=0"
"152","54.785155","163.70.146.60","10.0.2.15","TCP","60","[TCP Keep-Alive ACK] 443  >  52472 [ACK] Seq=1 Ack=2282 Win=65535 Len=0"
"153","54.785726","163.70.146.60","10.0.2.15","TCP","60","[TCP Keep-Alive ACK] 443  >  52478 [ACK] Seq=1 Ack=1899 Win=65535 Len=0"
"154","56.321133","10.0.2.15","23.11.38.161","TCP","54","[TCP Dup ACK 15#5] 57446  >  80 [ACK] Seq=1 Ack=1 Win=61672 Len=0"
